GA Hiperparametri:
  Velicina populacije: 100
  Broj generacija: 500
  Velicina turnira: 5
  Verovatnoca ukrstanja: 0.85
  Verovatnoca mutacije: 0.15
  Elitizam: 10 najboljih zadrzavano
  Broj pokretanja: 1

================================================================================
  REZULTATI SVIH POKRETANJA
================================================================================

  Pokretanje   1: 19,528,150 dinara  (9736.34s)

================================================================================
  MEDIJANA: 19,528,150.0 dinara
  NAJBOLJI: 19,528,150 dinara
  NAJGORI:  19,528,150 dinara

  UKUPNO VREME:  9736.34s
  PROSECNO VREME: 9736.34s
================================================================================

================================================================================
  NAJBOLJI PO GENERACIJAMA
================================================================================

    Gen  300: 19,504,405
    Gen  301: 19,504,444
    Gen  302: 19,504,487
    Gen  303: 19,504,548
    Gen  304: 19,504,591
    Gen  305: 19,504,641
    Gen  306: 19,504,680
    Gen  307: 19,504,692
    Gen  308: 19,504,725
    Gen  309: 19,504,786
    Gen  310: 19,504,859
    Gen  311: 19,504,859
    Gen  312: 19,504,909
    Gen  313: 19,505,044
    Gen  314: 19,505,044
    Gen  315: 19,505,094
    Gen  316: 19,505,094
    Gen  317: 19,505,114
    Gen  318: 19,506,605
    Gen  319: 19,506,766
    Gen  320: 19,506,920
    Gen  321: 19,507,255
    Gen  322: 19,507,617
    Gen  323: 19,507,672
    Gen  324: 19,507,793
    Gen  325: 19,508,082
    Gen  326: 19,508,137
    Gen  327: 19,508,381
    Gen  328: 19,508,495
    Gen  329: 19,508,495
    Gen  330: 19,508,548
    Gen  331: 19,508,666
    Gen  332: 19,508,709
    Gen  333: 19,508,718
    Gen  334: 19,508,778
    Gen  335: 19,508,818
    Gen  336: 19,509,221
    Gen  337: 19,509,307
    Gen  338: 19,509,307
    Gen  339: 19,509,354
    Gen  340: 19,509,363
    Gen  341: 19,509,461
    Gen  342: 19,509,476
    Gen  343: 19,509,516
    Gen  344: 19,509,663
    Gen  345: 19,509,739
    Gen  346: 19,509,744
    Gen  347: 19,509,861
    Gen  348: 19,509,925
    Gen  349: 19,510,023
    Gen  350: 19,510,025
    Gen  351: 19,510,074
    Gen  352: 19,510,368
    Gen  353: 19,510,628
    Gen  354: 19,510,879
    Gen  355: 19,510,952
    Gen  356: 19,510,975
    Gen  357: 19,511,194
    Gen  358: 19,511,277
    Gen  359: 19,511,306
    Gen  360: 19,513,512
    Gen  361: 19,514,017
    Gen  362: 19,514,110
    Gen  363: 19,514,154
    Gen  364: 19,514,213
    Gen  365: 19,514,299
    Gen  366: 19,514,360
    Gen  367: 19,515,168
    Gen  368: 19,515,207
    Gen  369: 19,515,227
    Gen  370: 19,515,346
    Gen  371: 19,515,346
    Gen  372: 19,515,362
    Gen  373: 19,515,491
    Gen  374: 19,515,491
    Gen  375: 19,515,873
    Gen  376: 19,515,985
    Gen  377: 19,516,053
    Gen  378: 19,516,069
    Gen  379: 19,516,250
    Gen  380: 19,516,252
    Gen  381: 19,516,293
    Gen  382: 19,516,346
    Gen  383: 19,518,702
    Gen  384: 19,518,702
    Gen  385: 19,518,816
    Gen  386: 19,518,832
    Gen  387: 19,518,875
    Gen  388: 19,518,978
    Gen  389: 19,518,978
    Gen  390: 19,518,998
    Gen  391: 19,519,030
    Gen  392: 19,519,081
    Gen  393: 19,519,106
    Gen  394: 19,519,113
    Gen  395: 19,519,220
    Gen  396: 19,519,232
    Gen  397: 19,519,260
    Gen  398: 19,519,271
    Gen  399: 19,519,306
    Gen  400: 19,519,326
    Gen  401: 19,519,374
    Gen  402: 19,519,390
    Gen  403: 19,519,408
    Gen  404: 19,519,438
    Gen  405: 19,519,449
    Gen  406: 19,519,505
    Gen  407: 19,519,531
    Gen  408: 19,519,567
    Gen  409: 19,519,589
    Gen  410: 19,519,596
    Gen  411: 19,519,637
    Gen  412: 19,519,655
    Gen  413: 19,521,300
    Gen  414: 19,521,341
    Gen  415: 19,521,345
    Gen  416: 19,521,378
    Gen  417: 19,521,442
