GA Hiperparametri (C++):
  Velicina populacije: 1000
  Broj generacija: 100
  Velicina turnira: 5
  Verovatnoca ukrstanja: 0.8
  Verovatnoca mutacije: 1
  Elitizam: 30
  Broj pokretanja: 15

  Pokretanje 1: 88686 dinara  (0.11s)
  Pokretanje 2: 88324 dinara  (0.08s)
  Pokretanje 3: 88546 dinara  (0.15s)
  Pokretanje 4: 88760 dinara  (0.08s)
  Pokretanje 5: 88665 dinara  (0.08s)
  Pokretanje 6: 88798 dinara  (0.08s)
  Pokretanje 7: 88592 dinara  (0.08s)
  Pokretanje 8: 88409 dinara  (0.08s)
  Pokretanje 9: 88323 dinara  (0.08s)
  Pokretanje 10: 88602 dinara  (0.08s)
  Pokretanje 11: 88627 dinara  (0.08s)
  Pokretanje 12: 88529 dinara  (0.08s)
  Pokretanje 13: 88560 dinara  (0.08s)
  Pokretanje 14: 88566 dinara  (0.08s)
  Pokretanje 15: 88549 dinara  (0.08s)

  PROSEK:   88569.1
  MEDIJANA: 88566.0
  NAJBOLJI: 88798
    Gen   37: 87703
    Gen   38: 87782
    Gen   39: 87827
    Gen   40: 87855
    Gen   41: 87924
    Gen   42: 87924
    Gen   43: 87969
    Gen   44: 87989
    Gen   45: 88019
    Gen   46: 88077
    Gen   47: 88077
    Gen   48: 88102
    Gen   49: 88156
    Gen   50: 88164
    Gen   51: 88175
    Gen   52: 88266
    Gen   53: 88266
    Gen   54: 88283
    Gen   55: 88292
    Gen   56: 88308
    Gen   57: 88324
    Gen   58: 88348
    Gen   59: 88384
    Gen   60: 88407
    Gen   61: 88439
    Gen   62: 88439
    Gen   63: 88450
    Gen   64: 88472
    Gen   65: 88486
    Gen   66: 88486
    Gen   67: 88506
    Gen   68: 88506
    Gen   69: 88524
    Gen   70: 88534
    Gen   71: 88545
    Gen   72: 88545
    Gen   73: 88567
    Gen   74: 88576
    Gen   75: 88607
    Gen   76: 88611
    Gen   77: 88611
    Gen   78: 88617
    Gen   79: 88624
    Gen   80: 88638
    Gen   81: 88648
    Gen   82: 88648
    Gen   83: 88655
    Gen   84: 88670
    Gen   85: 88673
    Gen   86: 88681
    Gen   87: 88698
    Gen   88: 88702
    Gen   89: 88706
    Gen   90: 88712
    Gen   91: 88713
    Gen   92: 88719
    Gen   93: 88728
    Gen   94: 88737
    Gen   95: 88740
    Gen   96: 88740
    Gen   97: 88750
    Gen   98: 88757
    Gen   99: 88760

  Pokretanje 5:
    Gen    0: 72639
    Gen    1: 76069
    Gen    2: 78596
    Gen    3: 80174
    Gen    4: 81478
    Gen    5: 82387
    Gen    6: 83340
    Gen    7: 83749
    Gen    8: 84140
    Gen    9: 84236
    Gen   10: 84498
    Gen   11: 84719
    Gen   12: 85096
    Gen   13: 85338
    Gen   14: 85637
    Gen   15: 85653
    Gen   16: 85768
    Gen   17: 86095
    Gen   18: 86222
    Gen   19: 86274
    Gen   20: 86318
    Gen   21: 86520
    Gen   22: 86566
    Gen   23: 86680
    Gen   24: 86723
    Gen   25: 86764
    Gen   26: 86917
    Gen   27: 86947
    Gen   28: 87053
    Gen   29: 87117
    Gen   30: 87155
    Gen   31: 87291
    Gen   32: 87313
    Gen   33: 87398
    Gen   34: 87509
    Gen   35: 87561
    Gen   36: 87646
    Gen   37: 87705
    Gen   38: 87730
    Gen   39: 87777
    Gen   40: 87855
    Gen   41: 87867
    Gen   42: 87886
    Gen   43: 87902
    Gen   44: 87939
    Gen   45: 87942
    Gen   46: 87981
    Gen   47: 88023
    Gen   48: 88027
    Gen   49: 88079
    Gen   50: 88113
    Gen   51: 88130
    Gen   52: 88161
    Gen   53: 88161
    Gen   54: 88192
    Gen   55: 88196
    Gen   56: 88243
    Gen   57: 88247
    Gen   58: 88268
    Gen   59: 88286
    Gen   60: 88286
    Gen   61: 88309
    Gen   62: 88341
    Gen   63: 88349
    Gen   64: 88368
    Gen   65: 88388
    Gen   66: 88433
    Gen   67: 88437
    Gen   68: 88446
    Gen   69: 88454
    Gen   70: 88464
    Gen   71: 88473
    Gen   72: 88487
    Gen   73: 88487
    Gen   74: 88511
    Gen   75: 88523
    Gen   76: 88523
    Gen   77: 88534
    Gen   78: 88537
    Gen   79: 88543
    Gen   80: 88549
    Gen   81: 88558
    Gen   82: 88564
    Gen   83: 88567
    Gen   84: 88588
    Gen   85: 88588
    Gen   86: 88598
    Gen   87: 88618
    Gen   88: 88618
    Gen   89: 88636
    Gen   90: 88636
    Gen   91: 88639
    Gen   92: 88643
    Gen   93: 88643
    Gen   94: 88647
    Gen   95: 88648
    Gen   96: 88655
    Gen   97: 88655
    Gen   98: 88661
    Gen   99: 88665

  Pokretanje 6:
    Gen    0: 72843
    Gen    1: 76426
    Gen    2: 77806
    Gen    3: 79849
    Gen    4: 81291
    Gen    5: 81720
    Gen    6: 82342
    Gen    7: 83111
    Gen    8: 83378
    Gen    9: 84284
    Gen   10: 84284
    Gen   11: 84560
    Gen   12: 84923
    Gen   13: 85213
    Gen   14: 85326
    Gen   15: 85721
    Gen   16: 85795
    Gen   17: 86117
    Gen   18: 86185
    Gen   19: 86214
    Gen   20: 86342
    Gen   21: 86760
    Gen   22: 86760
    Gen   23: 86824
    Gen   24: 86916
    Gen   25: 87133
    Gen   26: 87133
    Gen   27: 87203
    Gen   28: 87276
    Gen   29: 87290
    Gen   30: 87350
    Gen   31: 87443
    Gen   32: 87533
    Gen   33: 87633
    Gen   34: 87633
    Gen   35: 87722
    Gen   36: 87850
    Gen   37: 87858
    Gen   38: 87879
    Gen   39: 87946
    Gen   40: 87998
    Gen   41: 88003
    Gen   42: 88032
    Gen   43: 88084
    Gen   44: 88126
    Gen   45: 88148
    Gen   46: 88166
    Gen   47: 88201
    Gen   48: 88205
    Gen   49: 88251
    Gen   50: 88257
    Gen   51: 88286
    Gen   52: 88316
    Gen   53: 88339
    Gen   54: 88347
    Gen   55: 88359
    Gen   56: 88373
    Gen   57: 88385
    Gen   58: 88399
    Gen   59: 88423
    Gen   60: 88445
    Gen   61: 88451
    Gen   62: 88483
    Gen   63: 88488
    Gen   64: 88509
    Gen   65: 88517
    Gen   66: 88530
    Gen   67: 88544
    Gen   68: 88551
    Gen   69: 88552
    Gen   70: 88561
    Gen   71: 88572
    Gen   72: 88592
    Gen   73: 88592
    Gen   74: 88616
    Gen   75: 88622
    Gen   76: 88648
    Gen   77: 88651
    Gen   78: 88662
    Gen   79: 88674
    Gen   80: 88681
    Gen   81: 88686
    Gen   82: 88712
    Gen   83: 88718
    Gen   84: 88718
    Gen   85: 88721
    Gen   86: 88731
    Gen   87: 88731
    Gen   88: 88741
    Gen   89: 88741
    Gen   90: 88749
    Gen   91: 88754
    Gen   92: 88754
    Gen   93: 88757
    Gen   94: 88759
    Gen   95: 88768
    Gen   96: 88784
    Gen   97: 88793
    Gen   98: 88793
    Gen   99: 88798

  Pokretanje 7:
    Gen    0: 72991
    Gen    1: 77098
    Gen    2: 77611
    Gen    3: 79803
    Gen    4: 81614
    Gen    5: 81734
    Gen    6: 83158
    Gen    7: 84021
    Gen    8: 84310
    Gen    9: 84343
    Gen   10: 84550
    Gen   11: 84812
    Gen   12: 85071
    Gen   13: 85589
    Gen   14: 85721
    Gen   15: 85847
    Gen   16: 86185
    Gen   17: 86253
    Gen   18: 86455
    Gen   19: 86665
    Gen   20: 86682
    Gen   21: 86813
    Gen   22: 86878
    Gen   23: 86999
    Gen   24: 87100
    Gen   25: 87114
    Gen   26: 87201
    Gen   27: 87227
    Gen   28: 87323
    Gen   29: 87351
    Gen   30: 87388
    Gen   31: 87432
    Gen   32: 87451
    Gen   33: 87519
    Gen   34: 87578
    Gen   35: 87595
    Gen   36: 87646
    Gen   37: 87694
    Gen   38: 87793
    Gen   39: 87807
    Gen   40: 87837
    Gen   41: 87881
    Gen   42: 87904
    Gen   43: 87912
    Gen   44: 87990
    Gen   45: 87996
    Gen   46: 88002
    Gen   47: 88012
    Gen   48: 88066
    Gen   49: 88069
    Gen   50: 88099
    Gen   51: 88121
    Gen   52: 88126
    Gen   53: 88178
    Gen   54: 88216
    Gen   55: 88216
    Gen   56: 88240
    Gen   57: 88268
    Gen   58: 88268
    Gen   59: 88282
    Gen   60: 88287
    Gen   61: 88310
    Gen   62: 88327
    Gen   63: 88330
    Gen   64: 88342
    Gen   65: 88342
    Gen   66: 88357
    Gen   67: 88380
    Gen   68: 88386
    Gen   69: 88388
    Gen   70: 88399
    Gen   71: 88402
    Gen   72: 88432
    Gen   73: 88440
    Gen   74: 88452
    Gen   75: 88464
    Gen   76: 88464
    Gen   77: 88468
    Gen   78: 88470
    Gen   79: 88482
    Gen   80: 88497
    Gen   81: 88499
    Gen   82: 88514
    Gen   83: 88526
    Gen   84: 88544
    Gen   85: 88544
    Gen   86: 88545
    Gen   87: 88555
    Gen   88: 88561
    Gen   89: 88564
    Gen   90: 88564
    Gen   91: 88566
    Gen   92: 88573
    Gen   93: 88573
    Gen   94: 88579
    Gen   95: 88579
    Gen   96: 88581
    Gen   97: 88588
    Gen   98: 88592
    Gen   99: 88592

  Pokretanje 8:
    Gen    0: 73337
    Gen    1: 76904
    Gen    2: 78266
    Gen    3: 79590
    Gen    4: 80362
    Gen    5: 81478
    Gen    6: 82457
    Gen    7: 83490
    Gen    8: 84146
    Gen    9: 84303
    Gen   10: 84631
    Gen   11: 84856
    Gen   12: 84977
    Gen   13: 85260
    Gen   14: 85590
    Gen   15: 85618
    Gen   16: 86247
    Gen   17: 86252
    Gen   18: 86351
    Gen   19: 86379
    Gen   20: 86417
    Gen   21: 86661
    Gen   22: 86709
    Gen   23: 86747
    Gen   24: 86826
    Gen   25: 86967
    Gen   26: 86973
    Gen   27: 86973
    Gen   28: 87061
    Gen   29: 87137
    Gen   30: 87248
